Genus	Median Genome Length (KB)	Min Genome Length (KB)	Max Genome Length (KB)	Median molGC (%)	Min molGC (%)	Max molGC (%)	Sample Size
Meadowvirus	263.0	263	263	43.0	43	43	1
Miamivirus	253.0	253	253	44.0	44	44	1
Miltoncavirus	309.0	309	309	48.0	48	48	1
Moabitevirus	275.0	274	276	47.0	47	47	2
Nimduovirus	253.0	253	253	41.0	41	41	1
Noxifervirus	278.0	278	278	54.0	54	54	1
Pawinskivirus	302.0	302	302	44.0	44	44	1
Petsuvirus	277.0	277	277	43.0	43	43	1
Phabiovirus	309.0	309	309	43.0	43	43	1
Phikzvirus	280.0	267	280	37.0	37	37	3
Ripduovirus	280.0	280	280	53.0	53	53	1
Risingsunvirus	235.0	235	235	48.0	48	48	1
Seoulvirus	240.0	240	240	49.0	49	49	1
Serwervirus	317.0	317	317	45.0	45	45	1
Siatvirus	297.0	297	297	46.0	46	46	1
Tepukevirus	305.0	305	305	43.0	43	43	1
Wellingtonvirus	245.0	245	245	52.0	52	52	1
Lomovskayavirus	41.0	41	42	63.0	63	64	3
Sebastisaurusvirus	41.0	41	42	62.0	62	63	3
Shadyvirus	45.0	45	45	62.0	62	62	1
Shaekyvirus	46.0	46	46	63.0	63	63	1
Sycamorevirus	45.0	45	45	63.0	63	63	1
Tigunavirus	40.0	40	40	65.0	65	65	1
Vashvirus	41.0	41	42	63.0	62	63	3
Firehammervirus	177.0	158	183	27.0	27	27	6
Fletchervirus	131.0	124	135	26.0	26	26	13
Cetovirus	128.0	128	128	40.0	40	40	1
Jesfedecavirus	112.0	112	116	43.0	43	43	3
Thalassavirus	127.0	120	129	40.0	40	40	12
Vipunavirus	112.0	112	112	40.0	40	40	1
Epseptimavirus	113.0	105	125	40.0	40	41	77
Kononvirus	114.0	114	114	38.0	38	38	1
Tequintavirus	110.0	102	138	39.0	39	40	68
Hongcheonvirus	106.0	106	106	40.0	40	40	1
Myunavirus	122.0	122	122	41.0	41	41	1
Keyvirus	116.5	116	117	39.0	39	39	2
Novosibvirus	104.0	104	104	38.5	38	39	2
Pogseptimavirus	113.0	112	114	44.0	44	44	2
Priunavirus	114.0	109	119	40.0	40	40	2
Shenzhenvirus	114.5	113	116	44.0	44	44	2
Sugarlandvirus	113.0	106	123	45.0	45	46	14
Augustepiccardvirus	50.0	50	50	45.0	45	45	1
Christensenvirus	47.0	47	47	44.0	44	44	1
Guelphvirus	46.0	46	46	44.0	44	44	2
Inhoffenstrassevirus	43.0	43	43	44.0	44	44	1
Julespiccardvirus	48.0	48	48	45.0	45	45	1
Loudonvirus	45.0	44	46	44.0	44	44	2
Rtpvirus	47.0	46	48	44.0	44	45	3
Veterinaerplatzvirus	46.0	44	47	44.0	44	45	5
Eastlansingvirus	48.0	48	48	44.0	44	44	1
Lindendrivevirus	47.0	47	47	44.0	44	44	1
Rogunavirus	47.0	43	48	44.0	44	44	11
Sadiyavirus	48.0	48	48	45.0	45	45	1
Wilsonroadvirus	48.0	48	48	44.0	44	44	1
Baihuvirus	49.0	49	49	47.0	47	47	1
Changchunvirus	50.5	50	51	46.0	46	46	2
Hanrivervirus	51.0	46	53	44.0	44	45	20
Henuseptimavirus	50.0	50	50	48.0	48	49	3
Jahatvirus	51.0	51	51	46.0	46	46	1
Peekayseptimavirus	52.0	52	52	49.0	49	49	1
Pocisvirus	49.0	49	49	45.0	45	45	1
Tlsvirus	50.0	47	52	43.0	42	43	20
